State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Karnataka,Dakshina Kannada,534,Kadaba,7104,102 Nekkilady,102 ನೆಕ್ಕಿಲಾಡಿ,transliterated,617729,574325,Rural,Inhabitant
Karnataka,Udupi,549,Kapu,7067,108 Kalthur,108 ಕಲ್ತೂರ್,transliterated,608835,574106,Rural,Inhabitant
Karnataka,Vijayanagara,738,Hosapete,5498,112 Venkatapura,112 ವೆಂಕಟಪುರ,transliterated,604699,583221,Rural,Inhabitant
Karnataka,Dakshina Kannada,534,Mulki,7198,18 Manampadi,18 ಮನಂಪಾಡಿ,transliterated,938792,574154,Urban,Inhabitant
Karnataka,Kodagu,541,Virajpet,5568,1st Rudraguppe,1ಸ್ಟ್ ರುದ್ರಗುಪ್ಪೆ,transliterated,618017,571218,Rural,Inhabitant
Karnataka,Dakshina Kannada,534,Mulki,7198,2 Bappanadu,2 ಬಪ್ಪನಾಡು,transliterated,938794,574154,Urban,Inhabitant
Karnataka,Kodagu,541,Virajpet,5568,2ne Channayyanakote,2ನೆ ಚನ್ನಯ್ಯನಕೋಟೆ,transliterated,924041,571215,Rural,Inhabitant
Karnataka,Kodagu,541,Somvarpet,5567,2ne Chowdlu,2ನೆ ಚೌಡ್ಲು,transliterated,939034,571236,Rural,Inhabitant
Karnataka,Kodagu,541,Kushalnagar,7124,2ne Kudluru,2ನೆ ಕುಡ್ಲೂರು,transliterated,938973,571231,Rural,Inhabitant
Karnataka,Kodagu,541,Virajpet,5568,2ne Rudruguppe,2ನೆ ರುದೃಗುಪ್ಪೆ,transliterated,939082,571218,Rural,Inhabitant
Karnataka,Dakshina Kannada,534,Mulki,7198,3 Karnadu,3 ಕರ್ನಾಡು,transliterated,938795,574154,Urban,Inhabitant
Karnataka,Udupi,549,Brahmavara,7068,33 Shiroor,33 ಶಿರೂರ್,transliterated,608784,576124,Rural,Inhabitant
Karnataka,Udupi,549,Brahmavara,7068,34 Kudi,34 ಕುಡಿ,transliterated,608802,576234,Rural,Inhabitant
Karnataka,Udupi,549,Brahmavara,7068,38 Kalthur,38 ಕಲ್ತೂರ್,transliterated,608806,576215,Rural,Inhabitant
Karnataka,Dakshina Kannada,534,Mulki,7198,4 Chitrapu,4 ಚಿತ್ರಪು,transliterated,938796,574154,Urban,Inhabitant
Karnataka,Udupi,549,Udupi,5523,41 Shiroor,41 ಶಿರೂರ್,transliterated,608811,576124,Rural,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,49 Suratkal,49 ಸೂರತ್ಕಾಲ್,transliterated,938797,575014,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,50 Idya,50 ಇದ್ಯಾ,transliterated,938798,575014,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,50 Marakada,50 ಮಾರಕದ,transliterated,938799,575015,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,51 Hosabettu,51 ಹೊಸಬೆಟ್ಟು,transliterated,938800,575019,Urban,Inhabitant
Karnataka,Udupi,549,Brahmavara,7068,52 Heroor (Ct),52 ಹೆರೂರ್ (ಸಿಟಿಯ),transliterated,608846,576213,Rural,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,52 Kulavi,52 ಕುಲವಿ,transliterated,938801,575019,Urban,Inhabitant
Karnataka,Dakshina Kannada,534,Mangaluru,5561,53 Baikampadi,53 ಬೈಕಂಪಾಡಿ,transliterated,938802,575011,Urban,Inhabitant
